track_name,artist_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,image_url
greedy,Tate McRae,4,2023,9,14,"105,218",87.0,"1,258,569,694",207.0,,188.0,"21,788,568","6,973,652",98,5,1,17,39,89,96,58,100,40,https://i.scdn.co/image/ab67616d0000b27322fd802bc61db666c7c81aa8
BLUE,Billie Eilish,4,2024,5,17,"6,499",86.0,"91,272,461",76.0,,24.0,"5,054,005","257,661",70,7,0,34,21,14,67,29,64,62,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62
As It Was,Harry Styles,3,2022,3,31,"407,119",87.0,"3,301,814,535",455.0,,330.0,"12,907,852","14,967,379",198,4,1,88,47,13,74,100,62,13,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0
Paint The Town Red,Doja Cat,2,2023,8,4,"170,890",78.0,"1,065,399,331",158.0,,143.0,"13,718,632","7,559,816",136,1,0,80,52,22,95,66,25,57,https://i.scdn.co/image/ab67616d0000b2737acee948ecac8380c1b6ce30
Espresso,Sabrina Carpenter,1,2024,4,12,"24,425",95.0,"547,882,871",298.0,,167.0,"41,414,565","1,373,085",186,8,1,31,92,53,3,3,73,73,https://i.scdn.co/image/ab67616d0000b273659cd4673230913b3918e0d5
Danza Kuduro - Cover,MUSIC LAB JPN,2,2024,5,21,10,,"1,655,575,417",,,,,,105,10,0,23,9,7,0,92,18,87,https://i.scdn.co/image/ab67616d0000b27394bee5f21786e2772968601d
TEXAS HOLD 'EM,Beyoncï¿,4,2024,2,10,"34,044",86.0,"426,700,979",159.0,,194.0,"40,725,482","2,100,708",104,7,1,6,17,53,25,56,15,96,
Future,official sound studio,4,2024,1,10,1,,,,,,,,60,5,0,12,98,35,32,62,55,97,
Beat Automotivo Tan Tan Tan Viral,WZ Beat,2,2022,5,24,"3,504",35.0,"7,382,759",1.0,,1.0,6,"633,525",167,9,1,90,79,83,80,31,100,83,https://i.scdn.co/image/ab67616d0000b2736bf612929d76c4df043541ae
STAY (with Justin Bieber),The Kid LAROI,2,2021,7,9,"451,732",78.0,"3,107,100,349",513.0,,166.0,"5,783,693",,78,6,0,68,48,51,26,86,67,63,https://i.scdn.co/image/ab67616d0000b273b4d59e6fa7e5e7cbc57ac33a
Baby Shark,Pinkfong,2,2015,12,1,"60,945",71.0,"720,822,868",33.0,,19.0,"52,179","2,064,420",135,8,0,99,70,5,41,82,77,27,https://i.scdn.co/image/ab67616d0000b27311723f2867f29b2134ae47e4
we can't be friends (wait for your love),Ariana Grande,4,2024,3,8,"26,203",87.0,"591,068,364",194.0,,117.0,"22,062,193","1,579,980",131,6,0,89,29,96,68,78,29,3,https://i.scdn.co/image/ab67616d0000b2738b58d20f1b77295730db15b4
Numb / Encore,JAY-Z,4,2024,4,12,128,,"1,003,215,671",,,,,"4,474,248",168,2,1,41,18,27,70,50,6,33,https://i.scdn.co/image/ab67616d0000b2737282412ad025c14f7039f516
Danza Kuduro - Cover,LOVE BGM JPN,1,2024,5,14,,,"1,645,079,292",,,,,,71,5,0,30,54,49,63,62,11,3,https://i.scdn.co/image/ab67616d0000b273b042811d3e2ea325ec3ccd44
SHEESH,BABYMONSTER,1,2024,4,1,"3,479",82.0,"124,893,397",36.0,,3.0,"347,997","191,867",104,10,0,73,59,37,24,79,23,69,https://i.scdn.co/image/ab67616d0000b2734f6afc385052250c766a5683
Water,Tyla,4,2023,7,28,"98,450",83.0,"670,376,179",225.0,,180.0,"19,469,488","6,447,136",149,10,0,25,86,29,71,86,21,57,https://i.scdn.co/image/ab67616d0000b273d20231861e86a6f74ef2393e
Strangers,Kenya Grace,2,2023,9,1,"139,141",79.0,"750,154,960",163.0,,113.0,"16,295,286","7,477,917",162,6,1,85,71,80,97,100,46,85,https://i.scdn.co/image/ab67616d0000b2734756c2e9ae436437cd75e9f3
Too Sweet,Hozier,2,2024,3,22,"23,557",,"532,012,790",221.0,,42.0,"658,517",,67,1,0,75,80,72,3,0,29,3,https://i.scdn.co/image/ab67616d0000b273b07bd43d1bec442c7fcc4d1e
What's Love Got to Do with It - 2023 Remaster,Tina Turner,1,2024,4,26,7,,"479,417,905",,,,,"3,692,067",150,2,1,31,20,91,11,18,59,49,https://i.scdn.co/image/ab67616d0000b2731dca278b896da83c79e8019d
A Bar Song (Tipsy),Shaboozey,4,2024,4,12,"25,766",96.0,"311,928,522",149.0,,58.0,"26,516,005","1,707,213",146,3,0,90,25,53,57,100,38,4,https://i.scdn.co/image/ab67616d0000b27380d86d636244b72a3a1eede2
Lose Control,Teddy Swims,1,2023,6,23,"88,239",87.0,"775,135,157",215.0,,133.0,"42,675,181","10,517,831",143,9,1,96,27,70,94,34,19,74,https://i.scdn.co/image/ab67616d0000b2731a0323cc23419360a34a3ace
fukumean,Gunna,1,2023,6,15,"188,142",80.0,"759,998,727",123.0,,40.0,"2,225,409","3,945,184",141,5,1,51,38,45,10,62,25,44,https://i.scdn.co/image/ab67616d0000b273017d5e26552345c4b1575b6c
Dance Monkey,Tones And I,3,2019,5,10,"375,201",71.0,"3,071,214,106",549.0,,584.0,"5,749,770","44,842,636",127,0,0,19,32,27,100,93,48,34,https://i.scdn.co/image/ab67616d0000b273c6f7af36ecdc3ed6e0a1f169
BIRDS OF A FEATHER,Billie Eilish,3,2024,5,17,"10,871",92.0,"214,237,645",247.0,,67.0,"11,523,335","285,858",186,8,1,39,39,16,58,80,68,82,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,sped up 8282,3,2023,4,8,"27,827",41.0,"170,970,614",2.0,,4.0,"35,737",,141,4,1,58,82,47,35,25,41,74,
I'm Good (Blue),David Guetta,2,2022,8,26,"262,248",83.0,"1,658,229,422",285.0,,207.0,"6,479,623","10,973,120",143,11,0,76,28,43,21,12,5,74,https://i.scdn.co/image/ab67616d0000b273933c036cd61cd40d3f17a9c4
Daylight,David Kushner,4,2023,4,14,"177,800",82.0,"1,126,820,069",163.0,,77.0,"3,413,707","8,681,350",172,6,1,13,19,59,64,85,52,26,https://i.scdn.co/image/ab67616d0000b27395ca6a9b4083a86c149934ae
My Love Mine All Mine,Mitski,4,2023,9,15,"105,927",86.0,"997,702,304",91.0,,63.0,"10,874,749","2,682,219",135,8,1,43,19,59,49,22,33,1,https://i.scdn.co/image/ab67616d0000b27334f21d3047d85440dfa37f10
Please Please Please,Sabrina Carpenter,4,2024,6,6,"2,572",83.0,"59,314,441",199.0,,73.0,"13,686,074","47,115",181,8,1,85,73,4,3,96,68,53,https://i.scdn.co/image/ab67616d0000b273de84adf0e48248ea2d769c3e
Houdini,Dua Lipa,4,2023,11,9,"45,300",80.0,"493,627,071",174.0,,146.0,"28,246,184","2,389,957",100,0,1,81,11,68,99,90,9,71,https://i.scdn.co/image/ab67616d0000b273778c1e4660aa23f6728b32a1
Danza Kuduro - Cover,MUSIC LAB JPN,3,2024,5,2,9,,"1,655,575,417",,,,,,61,0,0,47,96,77,71,34,27,97,https://i.scdn.co/image/ab67616d0000b27394bee5f21786e2772968601d
If We Ever Broke Up,Mae Stephens,2,2023,2,10,"43,923",69.0,"304,929,492",78.0,,41.0,"3,467,570","2,227,494",88,2,1,92,24,69,88,11,2,83,https://i.scdn.co/image/ab67616d0000b2731fc63c898797e3dbf04ad611
Despacito,Luis Fonsi,2,2017,1,13,"178,114",74.0,"1,747,093,405",179.0,,145.0,"1,977,014","19,622,551",164,5,1,42,24,6,91,8,76,86,https://i.scdn.co/image/ab67616d0000b273ef0d4234e1a645740f77d59c
euphoria,Kendrick Lamar,3,2024,4,30,"17,168",86.0,"168,434,320",65.0,,20.0,"428,378","654,482",110,1,0,15,3,52,51,97,47,78,https://i.scdn.co/image/ab67616d0000b2737587213b1be294ac4000f648
Panda Basi,Mvua,2,2023,2,10,249,25.0,"104,271",,,,,"1,881",134,9,0,34,3,16,99,77,65,47,https://i.scdn.co/image/ab67616d0000b27367a5cf1433080329f49b3378
Calm Down (with Selena Gomez),Rema,3,2022,8,25,"163,876",77.0,"1,391,688,322",316.0,,112.0,"11,937,930","3,521,951",69,11,1,52,8,58,99,100,34,76,https://i.scdn.co/image/ab67616d0000b273a3a7f38ea2033aa501afd4cf
Shape of You,Ed Sheeran,4,2017,1,6,"316,378",80.0,"3,909,458,734",465.0,,512.0,"2,710,931","1,146,246",110,10,0,33,14,8,42,66,51,94,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96
Mitu,Maian,3,2023,1,19,42,13.0,"55,346",,,,,200,177,0,0,2,25,94,45,43,61,48,https://i.scdn.co/image/ab67616d0000b273bc6d9e7f0a204f67f8f5d861
Blinding Lights,The Weeknd,4,2019,11,29,"590,392",83.0,"4,281,468,720",859.0,,564.0,"11,701,129","28,994,660",180,0,0,67,78,21,3,60,51,77,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36
Creepin' (with The Weeknd & 21 Savage),Metro Boomin,4,2022,12,2,"228,295",80.0,"1,337,619,917",152.0,,58.0,"2,134,791","6,205,060",98,4,0,4,89,44,12,20,46,0,https://i.scdn.co/image/ab67616d0000b273c4fee55d7b51479627c31f89
Dona Felicidade,Patati Patatï¿,1,2024,6,4,2,,,,,1.0,"1,657",,87,3,0,9,91,72,37,6,53,90,https://i.scdn.co/image/ab67616d0000b273558fb0fd84f482b2bf3552b0
Danza Kuduro - Cover,MUSIC LAB JPN,3,2024,4,29,1,,"1,655,575,417",,,,,,62,0,0,51,70,58,44,96,27,32,https://i.scdn.co/image/ab67616d0000b27394bee5f21786e2772968601d
Unholy (feat. Kim Petras),Sam Smith,1,2022,9,22,"210,583",74.0,"1,556,275,789",203.0,,63.0,"1,616,564","10,192,485",143,3,0,28,31,79,24,98,100,34,https://i.scdn.co/image/ab67616d0000b273a935e4689f15953311772cc4
Stereo Love - Melodic,Edward Maya,3,2024,6,5,2,9.0,,,,,,,176,2,0,95,75,99,66,10,22,53,https://i.scdn.co/image/ab67616d0000b273b2a5223b016000dfdaaf68cf
Very Cute Melody by Marimba Tone (39813),mitsu sound,3,2023,12,31,2,,"1,384",,,,,,61,1,0,30,98,97,54,44,86,55,
Supernova,aespa,1,2024,5,13,"2,483",81.0,"69,729,033",40.0,,7.0,"544,322","63,283",152,8,1,65,51,12,95,31,34,14,https://i.scdn.co/image/ab67616d0000b273c60843bafc67821cff6df260
Me Porto Bonito,Bad Bunny,1,2022,5,6,"173,358",79.0,"1,811,990,630",124.0,,44.0,"14,871,714","3,393,920",190,10,1,75,31,82,38,85,31,68,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72
Back That Azz Up (feat. Lil Wayne & Mannie Fresh),JUVENILE,3,2024,3,29,4,,"199,929,812",1.0,,,,,153,0,1,90,8,11,64,82,1,100,https://i.scdn.co/image/ab67616d0000b273d3ebd78c54017dc16148bb99
Calm Down,Rema,2,2022,2,10,"182,994",68.0,"584,427,088",138.0,,53.0,"3,481,756","22,563,407",99,6,1,68,77,35,74,35,15,3,https://i.scdn.co/image/ab67616d0000b273a3a7f38ea2033aa501afd4cf
CARNIVAL,ýý$,4,2024,2,8,"53,842",84.0,"466,887,055",42.0,,11.0,"199,915","1,982,000",61,3,1,36,12,9,1,36,15,83,https://i.scdn.co/image/ab67616d0000b273723f07133c42dd8191e62f27
Kill Bill,SZA,1,2022,12,8,"190,202",82.0,"1,873,746,537",214.0,,73.0,"1,304,067","4,873,832",140,4,0,26,55,15,68,74,50,63,https://i.scdn.co/image/ab67616d0000b2730c471c36970b9406233842a5
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,4,2023,7,13,"114,560",82.0,"891,720,245",168.0,,108.0,"10,920,686","4,476,509",71,9,0,86,43,91,85,40,66,21,https://i.scdn.co/image/ab67616d0000b273ed317ec13d3de9e01fb99c9e
Babba,Guy Mac,2,2023,3,3,252,6.0,"46,567",2.0,,,,903,124,4,1,32,96,18,61,76,91,23,https://i.scdn.co/image/ab67616d0000b273e6a7a4254ba2b5d6b807efad
Heat Waves,Glass Animals,2,2020,6,29,"486,278",82.0,"2,996,181,078",459.0,,170.0,"11,862,378","17,848,778",114,0,1,67,95,5,45,91,92,46,https://i.scdn.co/image/ab67616d0000b273712701c5e263efc8726b1464
In the End,Linkin Park,2,2024,4,12,97,,"2,045,512,421",,,,,,104,5,0,58,82,3,76,48,53,74,https://i.scdn.co/image/ab67616d0000b273e2f039481babe23658fc719a
"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,1,2023,1,11,"100,130",74.0,"946,941,510",110.0,,106.0,"4,971,379","2,237,762",160,8,1,63,29,29,86,14,19,5,https://i.scdn.co/image/ab67616d0000b2732b6d78c5a3f6247aa997b812
The Way We Move - Extended Mix,PowerDress,2,2023,3,10,38,4.0,"7,909",,,,,"1,412",121,1,0,84,15,94,30,12,99,26,https://i.scdn.co/image/ab67616d0000b2731f0470e0d8b4dcbedc9f2f0a
Old Town Road,Lil Nas X,1,2019,3,14,"127,393",67.0,"1,010,494,713",63.0,,64.0,"397,418","8,856,633",108,6,1,87,11,45,98,52,32,9,https://i.scdn.co/image/ab67616d0000b2736239187793c9e492e687db01
un x100to,Grupo Frontera,2,2023,4,17,"99,381",75.0,"1,008,495,696",101.0,,42.0,"5,734,172","2,283,747",186,5,0,43,73,26,34,32,85,38,https://i.scdn.co/image/ab67616d0000b27382ce4c7bbf861185252e82ae
Laxed ï¿½ï¿½ï¿½ Sire,Jawsh 685,4,2020,4,24,"10,230",,,,,,,,82,4,1,94,65,44,44,71,7,73,
Sprinter,Dave,4,2023,6,1,"199,828",78.0,"692,512,930",155.0,,41.0,"1,790,031","3,093,667",97,3,0,87,17,84,76,31,23,89,https://i.scdn.co/image/ab67616d0000b273e3a09a9ae3f1fa102c110e60
CHIHIRO,Billie Eilish,3,2024,5,17,"11,028",90.0,"169,410,711",185.0,,53.0,"20,737,850","388,625",87,3,1,48,12,36,53,100,52,36,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62
TQG,KAROL G,4,2023,2,23,"78,554",78.0,"1,024,381,758",138.0,,84.0,"8,850,320","3,488,226",80,5,1,52,92,8,70,47,63,53,https://i.scdn.co/image/ab67616d0000b27382de1ca074ae63cb18fce335
Perfect,Ed Sheeran,3,2017,3,3,"280,165",81.0,"2,969,999,682",208.0,,343.0,"1,242,581",,166,3,0,73,23,60,68,67,57,96,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96
Pepas,Farruko,4,2021,6,24,"359,502",74.0,"1,500,499,584",258.0,,137.0,"4,015,523","17,210,946",158,4,0,48,11,34,28,56,36,50,https://i.scdn.co/image/ab67616d0000b2734239a6aa89738d8f798168ad
Peekaboo,Dave Angel,1,2023,1,27,63,,"8,082",1.0,,,,442,178,5,1,65,59,46,71,61,83,59,https://i.scdn.co/image/ab67616d0000b27343fd2cd3b19fdbba928f054d
Ella Baila Sola,Eslabon Armado,4,2023,3,16,"129,463",74.0,"1,215,336,974",83.0,,24.0,"4,946,338","3,435,177",132,4,1,94,59,20,7,81,11,71,https://i.scdn.co/image/ab67616d0000b2732071a0c79802d9375a53bfef
Dance The Night - From Barbie The Album,Dua Lipa,3,2023,5,25,"74,769",80.0,"860,026,452",7.0,,82.0,"4,067,956","3,199,636",181,6,0,62,92,16,53,86,83,50,https://i.scdn.co/image/ab67616d0000b2737dd3ba455ee3390cb55b0192
La Bebe - Remix,Yng Lvcas,3,2023,3,17,"94,887",79.0,"1,032,225,805",83.0,,42.0,"3,360,878","2,635,577",89,8,0,24,85,54,6,92,83,61,https://i.scdn.co/image/ab67616d0000b273a04be3ad7c8c67f4109111a9
redrum,21 Savage,2,2024,1,12,"57,311",,"428,233,003",74.0,,48.0,"4,037,475","2,490,071",167,9,0,3,99,87,82,1,3,48,https://i.scdn.co/image/ab67616d0000b273bbdceba2bf1867d4966d0347
Easy On Me,Adele,1,2021,10,14,"209,635",73.0,"1,720,918,065",325.0,,257.0,"5,323,750","7,569,155",157,6,1,50,0,94,22,76,93,50,https://i.scdn.co/image/ab67616d0000b273c6b577e4c4a6d326354a89f7
Titï¿½ï¿½ Me Pregu,Bad Bunny,4,2022,5,6,"190,692",77.0,"1,514,239,759",150.0,,44.0,"5,591,928","5,133,847",91,6,1,10,42,5,99,15,30,27,
All My Life (feat. J. Cole),Lil Durk,2,2023,5,12,"108,322",68.0,"333,202,114",148.0,,30.0,"1,277,729","4,207,535",138,3,0,16,54,34,31,7,85,35,https://i.scdn.co/image/ab67616d0000b2737c173b0dc64913d4635e3594
Anti-Hero,Taylor Swift,4,2022,10,21,"117,005",80.0,"1,563,224,246",261.0,,74.0,"4,457,357","4,703,179",100,0,1,65,39,49,61,18,78,24,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5
"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,4,2022,7,6,"209,490",78.0,"1,692,951,462",99.0,,58.0,"5,211,955","6,836,893",122,7,1,69,63,36,44,31,37,35,https://i.scdn.co/image/ab67616d0000b2731630dd349221a35ce03a0ccf
Magnetic,ILLIT,2,2024,3,25,"11,500",86.0,"255,076,355",67.0,,9.0,"423,666","659,825",82,3,0,72,33,12,67,66,36,76,https://i.scdn.co/image/ab67616d0000b273f037c5fb9de6c78726cb8e2c
Lollipop,Darell,2,2023,7,28,"37,806",70.0,"275,349,653",19.0,,37.0,"3,780,737","1,245,874",163,0,1,68,33,24,29,31,91,59,https://i.scdn.co/image/ab67616d0000b273992b4a535535ec4d0f109021
La Diabla,Xavi,2,2023,12,2,"27,544",83.0,"649,404,552",29.0,,34.0,"16,509,806","1,380,069",134,4,0,83,47,95,38,84,74,6,https://i.scdn.co/image/ab67616d0000b273de88a62b44d6c0b2dda333a3
Boy's a Liar Pt. 2,PinkPantheress,2,2023,2,3,"129,047",70.0,"851,085,705",162.0,,65.0,"8,655,684","2,580,691",107,7,0,28,32,0,4,24,13,64,https://i.scdn.co/image/ab67616d0000b2739567e1aa41657425d046733b
Snooze,SZA,2,2022,12,9,"108,036",84.0,"1,013,350,808",154.0,,60.0,"2,707,900","3,129,609",116,3,1,84,67,48,66,52,74,72,https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1
BELLAKEO,Peso Pluma,4,2023,12,7,"26,065",86.0,"359,803,580",40.0,,63.0,"18,139,662","1,002,835",177,11,1,72,29,34,21,80,72,91,https://i.scdn.co/image/ab67616d0000b2736601556a0f7c0b54ded13c9d
Agora Hills,Doja Cat,2,2023,9,22,"66,219",,"509,653,100",80.0,,78.0,"9,341,155","4,295,361",159,7,0,91,83,82,27,24,23,35,https://i.scdn.co/image/ab67616d0000b27394203dd82d27b494c777d07c
Prada,cassï¿,1,2023,8,11,"128,498",83.0,"609,699,748",129.0,,167.0,"15,480,679",,183,7,0,71,89,52,21,32,9,93,https://i.scdn.co/image/ab67616d0000b2734ef3176f3694082721905bb2
Montagem Rave Eterno,Dj Samir,3,2024,5,2,470,,"5,157,486",3.0,,2.0,"39,366","47,658",93,2,0,94,78,51,85,30,37,72,https://i.scdn.co/image/ab67616d0000b273640d7fe96bc154f78c7493e4
Lil Boo Thang,Paul Russell,2,2023,8,18,"37,170",76.0,"242,070,373",106.0,,69.0,"1,792,014","2,219,984",66,8,1,19,70,53,97,35,42,29,https://i.scdn.co/image/ab67616d0000b273811b8a1d3649f63af1d5fb65
MONACO,Bad Bunny,2,2023,10,13,"73,306",78.0,"478,150,858",78.0,,56.0,"15,784,760","2,255,465",115,2,0,26,70,75,28,86,36,98,https://i.scdn.co/image/ab67616d0000b2737b1fc51ff3257b5286a1ecec
Laxed (Siren Beat),Jawsh 685,4,2020,4,24,"7,240",43.0,"61,382,407",15.0,,5.0,"59,317","3,819,161",124,0,0,7,28,46,42,88,41,46,https://i.scdn.co/image/ab67616d0000b2733e0936633c4c927ac22818e1
(It Goes Like) Nanana - Edit,Peggy Gou,2,2023,6,15,"163,449",77.0,"460,156,070",,,102.0,"3,034,022","9,279,625",106,1,0,84,22,42,41,48,31,90,https://i.scdn.co/image/ab67616d0000b27388d71aadd009fe1a83df88f2
Training Season,Dua Lipa,2,2024,2,15,"16,811",76.0,"251,153,869",162.0,,127.0,"33,540,073","2,047,771",78,5,0,60,33,19,59,43,83,28,https://i.scdn.co/image/ab67616d0000b273778c1e4660aa23f6728b32a1
Type Shit,Future,2,2024,3,22,"28,064",84.0,"205,206,688",99.0,,41.0,"2,943,724","900,933",185,11,1,27,83,32,76,47,13,4,https://i.scdn.co/image/ab67616d0000b273a46b07c291e6dfdee13b3ee8
Armageddon,aespa,4,2024,5,27,"1,262",74.0,"32,942,304",37.0,,5.0,"530,831","29,736",198,9,1,86,14,92,70,29,3,64,https://i.scdn.co/image/ab67616d0000b273c60843bafc67821cff6df260
The Box,Roddy Ricch,2,2019,12,6,"317,345",78.0,"1,911,559,785",255.0,,138.0,"555,650","11,988,760",108,1,0,69,96,15,73,12,23,68,https://i.scdn.co/image/ab67616d0000b273600adbc750285ea1a8da249f
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,3,2021,7,23,"354,831",70.0,"2,014,959,725",360.0,,109.0,"3,242,122","12,693,846",172,5,1,2,52,77,91,42,95,62,https://i.scdn.co/image/ab67616d0000b273ba26678947112dff3c3158bf
Pedro,Jaxomy,4,2024,3,29,"27,654",85.0,"168,145,583",107.0,,158.0,"16,345,999","2,408,838",97,0,1,68,16,6,67,92,9,92,https://i.scdn.co/image/ab67616d0000b273df8680015ddf76e5c444849f
Fast Car,Luke Combs,3,2023,3,24,"73,116",80.0,"518,988,585",117.0,,67.0,"8,306,302","3,108,167",123,10,1,72,63,69,58,15,15,55,https://i.scdn.co/image/ab67616d0000b273ca650d3a95022e0490434ba1
Bling-Bang-Bang-Born,Creepy Nuts,4,2024,1,7,"22,222",80.0,"247,399,972",53.0,,18.0,"357,941","1,069,500",128,0,0,6,83,20,95,90,38,16,https://i.scdn.co/image/ab67616d0000b2733f6de9c0ca2148edf20daa6b
Aesthetic,Tollan Kim,2,2022,3,4,"2,311",44.0,"5,712,985",4.0,,4.0,"1,397","249,823",195,4,1,59,60,35,85,25,95,50,https://i.scdn.co/image/ab67616d0000b27363eaf3bbaef95ad10079ee75
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,3,2018,10,18,"392,082",79.0,"3,358,704,125",351.0,,86.0,"809,352","1,569,935",175,9,1,3,56,85,83,74,17,36,https://i.scdn.co/image/ab67616d0000b273e2e352d89826aef6dbd5ff8f
Hands,Dianï¿½,4,2022,8,1,8,1.0,"126,914",,,,,295,124,10,0,4,76,53,83,46,24,87,
Saturn,SZA,1,2024,2,24,"21,104",87.0,"343,090,427",120.0,,103.0,"10,995,523","745,798",90,8,0,10,87,18,5,36,6,90,https://i.scdn.co/image/ab67616d0000b273d70916ee9e40c90380ba5f07
Chegou a Hora de Ir para Cama (Playback),3 Palavrinhas,2,2024,6,4,,,,,,,,,191,7,1,14,36,24,72,2,55,8,https://i.scdn.co/image/ab67616d0000b2732de86cf967f51fa1face20de
